date,name
2044-12-25,CHRISTMAS
2045-01-01,NEW_YEARS_DAY
2045-02-16,SEOLLAL_B
2045-02-17,SEOLLAL
2045-02-18,SEOLLAL_A
2045-03-01,INDEPENDENCE_MOVEMENT_DAY
2045-05-01,LABOUR_DAY
2045-05-05,CHILDRENS_DAY
2045-05-24,BUDDHAS_BIRTHDAY
2045-06-06,MEMORIAL_DAY
2045-08-15,LIBERATION_DAY
2045-09-24,CHUSEOK_B
2045-09-25,CHUSEOK
2045-09-26,CHUSEOK_A
2045-09-27,Alternative
2045-12-25,CHRISTMAS
2046-01-01,NEW_YEARS_DAY
2046-02-05,SEOLLAL_B
2046-02-06,SEOLLAL
2046-02-07,SEOLLAL_A
2046-03-01,INDEPENDENCE_MOVEMENT_DAY
2046-05-01,LABOUR_DAY
2046-05-05,CHILDRENS_DAY
2046-05-07,Alternative
2046-05-13,BUDDHAS_BIRTHDAY
2046-06-06,MEMORIAL_DAY
2046-08-15,LIBERATION_DAY
2046-09-14,CHUSEOK_B
2046-09-15,CHUSEOK
2046-09-16,CHUSEOK_A
2046-09-17,Alternative
2046-12-25,CHRISTMAS
2047-01-01,NEW_YEARS_DAY
2047-01-25,SEOLLAL_B
2047-01-26,SEOLLAL
2047-01-27,SEOLLAL_A
2047-01-28,Alternative
2047-03-01,INDEPENDENCE_MOVEMENT_DAY
2047-05-01,LABOUR_DAY
2047-05-02,BUDDHAS_BIRTHDAY
2047-05-05,CHILDRENS_DAY
2047-05-06,Alternative
2047-06-06,MEMORIAL_DAY
2047-08-15,LIBERATION_DAY
2047-10-03,CHUSEOK_B
2047-10-04,CHUSEOK
2047-10-05,CHUSEOK_A
2047-12-25,CHRISTMAS
2048-01-01,NEW_YEARS_DAY
2048-02-13,SEOLLAL_B
2048-02-14,SEOLLAL
2048-02-15,SEOLLAL_A
2048-03-01,INDEPENDENCE_MOVEMENT_DAY
2048-05-01,LABOUR_DAY
2048-05-05,CHILDRENS_DAY
2048-05-20,BUDDHAS_BIRTHDAY
2048-06-06,MEMORIAL_DAY
2048-08-15,LIBERATION_DAY
2048-09-21,CHUSEOK_B
2048-09-22,CHUSEOK
2048-09-23,CHUSEOK_A
2048-12-25,CHRISTMAS
2049-01-01,NEW_YEARS_DAY
2049-02-01,SEOLLAL_B
2049-02-02,SEOLLAL
2049-02-03,SEOLLAL_A
2049-03-01,INDEPENDENCE_MOVEMENT_DAY
2049-05-01,LABOUR_DAY
2049-05-05,CHILDRENS_DAY
2049-05-09,BUDDHAS_BIRTHDAY
2049-06-06,MEMORIAL_DAY
2049-08-15,LIBERATION_DAY
